Filepath,MfccImgPath,Emotion
./dataset/mlend/MLEndSND_Public/11093.wav,mfccs_img/11093_mfcc.png,Question
./dataset/crema-d/AudioWAV/1011_TAI_ANG_XX.wav,mfccs_img/1011_TAI_ANG_XX_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/27019.wav,mfccs_img/27019_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/23420.wav,mfccs_img/23420_mfcc.png,Bored
./dataset/crema-d/AudioWAV/1077_ITH_ANG_XX.wav,mfccs_img/1077_ITH_ANG_XX_mfcc.png,Anger
./dataset/tess/YAF_fear/YAF_pad_fear.wav,mfccs_img/YAF_pad_fear_mfcc.png,Fear
./dataset/meld/train/dia954_utt2.mp4,mfccs_img/dia954_utt2_mfcc.png,Neutral
./dataset/tess/OAF_angry/OAF_check_angry.wav,mfccs_img/OAF_check_angry_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/01160.wav,mfccs_img/01160_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/08931.wav,mfccs_img/08931_mfcc.png,Bored
./dataset/meld/train/dia110_utt0.mp4,mfccs_img/dia110_utt0_mfcc.png,Neutral
./dataset/crema-d/AudioWAV/1079_TSI_SAD_XX.wav,mfccs_img/1079_TSI_SAD_XX_mfcc.png,Sad
./dataset/esd/0014/Neutral/0014_000216.wav,mfccs_img/0014_000216_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/20933.wav,mfccs_img/20933_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/32461.wav,mfccs_img/32461_mfcc.png,Neutral
./dataset/crema-d/AudioWAV/1009_ITS_DIS_XX.wav,mfccs_img/1009_ITS_DIS_XX_mfcc.png,Disgust
./dataset/mlend/MLEndSND_Public/00304.wav,mfccs_img/00304_mfcc.png,Neutral
./dataset/meld/train/dia915_utt5.mp4,mfccs_img/dia915_utt5_mfcc.png,Neutral
./dataset/meld/train/dia562_utt6.mp4,mfccs_img/dia562_utt6_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/21215.wav,mfccs_img/21215_mfcc.png,Happy
./dataset/esd/0019/Neutral/0019_000063.wav,mfccs_img/0019_000063_mfcc.png,Neutral
./dataset/crema-d/AudioWAV/1017_IEO_FEA_LO.wav,mfccs_img/1017_IEO_FEA_LO_mfcc.png,Fear
./dataset/esd/0016/Surprise/0016_001661.wav,mfccs_img/0016_001661_mfcc.png,Surprise
./dataset/tess/YAF_angry/YAF_live_angry.wav,mfccs_img/YAF_live_angry_mfcc.png,Anger
./dataset/ravdess/Actor_16/03-01-03-01-02-02-16.wav,mfccs_img/03-01-03-01-02-02-16_mfcc.png,Happy
./dataset/esd/0018/Surprise/0018_001552.wav,mfccs_img/0018_001552_mfcc.png,Surprise
./dataset/mlend/MLEndSND_Public/09988.wav,mfccs_img/09988_mfcc.png,Bored
./dataset/esd/0019/Sad/0019_001386.wav,mfccs_img/0019_001386_mfcc.png,Sad
./dataset/mlend/MLEndSND_Public/28053.wav,mfccs_img/28053_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/07002.wav,mfccs_img/07002_mfcc.png,Question
./dataset/meld/train/dia827_utt1.mp4,mfccs_img/dia827_utt1_mfcc.png,Happy
./dataset/meld/train/dia961_utt3.mp4,mfccs_img/dia961_utt3_mfcc.png,Anger
./dataset/esd/0020/Angry/0020_000669.wav,mfccs_img/0020_000669_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/27233.wav,mfccs_img/27233_mfcc.png,Question
./dataset/mlend/MLEndSND_Public/04728.wav,mfccs_img/04728_mfcc.png,Happy
./dataset/crema-d/AudioWAV/1073_DFA_DIS_XX.wav,mfccs_img/1073_DFA_DIS_XX_mfcc.png,Disgust
./dataset/mlend/MLEndSND_Public/27175.wav,mfccs_img/27175_mfcc.png,Happy
./dataset/tess/YAF_angry/YAF_pole_angry.wav,mfccs_img/YAF_pole_angry_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/03585.wav,mfccs_img/03585_mfcc.png,Question
./dataset/esd/0013/Angry/0013_000445.wav,mfccs_img/0013_000445_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/24644.wav,mfccs_img/24644_mfcc.png,Happy
./dataset/tess/YAF_fear/YAF_cause_fear.wav,mfccs_img/YAF_cause_fear_mfcc.png,Fear
./dataset/esd/0019/Neutral/0019_000187.wav,mfccs_img/0019_000187_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/23854.wav,mfccs_img/23854_mfcc.png,Bored
./dataset/crema-d/AudioWAV/1077_TIE_SAD_XX.wav,mfccs_img/1077_TIE_SAD_XX_mfcc.png,Sad
./dataset/mlend/MLEndSND_Public/11468.wav,mfccs_img/11468_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/41356.wav,mfccs_img/41356_mfcc.png,Happy
./dataset/crema-d/AudioWAV/1037_IEO_DIS_LO.wav,mfccs_img/1037_IEO_DIS_LO_mfcc.png,Disgust
./dataset/mlend/MLEndSND_Public/46042.wav,mfccs_img/46042_mfcc.png,Question
./dataset/meld/train/dia1029_utt3.mp4,mfccs_img/dia1029_utt3_mfcc.png,Surprise
./dataset/mlend/MLEndSND_Public/39196.wav,mfccs_img/39196_mfcc.png,Question
./dataset/mlend/MLEndSND_Public/43632.wav,mfccs_img/43632_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/03532.wav,mfccs_img/03532_mfcc.png,Question
./dataset/crema-d/AudioWAV/1043_IWL_HAP_XX.wav,mfccs_img/1043_IWL_HAP_XX_mfcc.png,Happy
./dataset/esd/0014/Angry/0014_000426.wav,mfccs_img/0014_000426_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/05241.wav,mfccs_img/05241_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/17174.wav,mfccs_img/17174_mfcc.png,Neutral
./dataset/esd/0013/Sad/0013_001392.wav,mfccs_img/0013_001392_mfcc.png,Sad
./dataset/mlend/MLEndSND_Public/09873.wav,mfccs_img/09873_mfcc.png,Happy
./dataset/ravdess/Actor_04/03-01-08-01-02-01-04.wav,mfccs_img/03-01-08-01-02-01-04_mfcc.png,Surprise
./dataset/esd/0012/Sad/0012_001319.wav,mfccs_img/0012_001319_mfcc.png,Sad
./dataset/mlend/MLEndSND_Public/20087.wav,mfccs_img/20087_mfcc.png,Happy
./dataset/meld/train/dia286_utt0.mp4,mfccs_img/dia286_utt0_mfcc.png,Neutral
./dataset/tess/YAF_happy/YAF_mouse_happy.wav,mfccs_img/YAF_mouse_happy_mfcc.png,Happy
./dataset/mlend/MLEndSND_Public/20887.wav,mfccs_img/20887_mfcc.png,Neutral
./dataset/esd/0011/Happy/0011_000739.wav,mfccs_img/0011_000739_mfcc.png,Happy
./dataset/esd/0015/Angry/0015_000529.wav,mfccs_img/0015_000529_mfcc.png,Anger
./dataset/tess/OAF_disgust/OAF_king_disgust.wav,mfccs_img/OAF_king_disgust_mfcc.png,Disgust
./dataset/esd/0014/Angry/0014_000428.wav,mfccs_img/0014_000428_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/42143.wav,mfccs_img/42143_mfcc.png,Neutral
./dataset/esd/0020/Neutral/0020_000094.wav,mfccs_img/0020_000094_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/39132.wav,mfccs_img/39132_mfcc.png,Happy
./dataset/mlend/MLEndSND_Public/14356.wav,mfccs_img/14356_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/31878.wav,mfccs_img/31878_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/37648.wav,mfccs_img/37648_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/08888.wav,mfccs_img/08888_mfcc.png,Question
./dataset/crema-d/AudioWAV/1015_IEO_DIS_LO.wav,mfccs_img/1015_IEO_DIS_LO_mfcc.png,Disgust
./dataset/crema-d/AudioWAV/1071_TAI_FEA_XX.wav,mfccs_img/1071_TAI_FEA_XX_mfcc.png,Fear
./dataset/mlend/MLEndSND_Public/15450.wav,mfccs_img/15450_mfcc.png,Question
./dataset/tess/OAF_disgust/OAF_nice_disgust.wav,mfccs_img/OAF_nice_disgust_mfcc.png,Disgust
./dataset/crema-d/AudioWAV/1027_WSI_DIS_XX.wav,mfccs_img/1027_WSI_DIS_XX_mfcc.png,Disgust
./dataset/mlend/MLEndSND_Public/02782.wav,mfccs_img/02782_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/04654.wav,mfccs_img/04654_mfcc.png,Happy
./dataset/mlend/MLEndSND_Public/11015.wav,mfccs_img/11015_mfcc.png,Question
./dataset/crema-d/AudioWAV/1041_MTI_HAP_XX.wav,mfccs_img/1041_MTI_HAP_XX_mfcc.png,Happy
./dataset/mlend/MLEndSND_Public/38355.wav,mfccs_img/38355_mfcc.png,Bored
./dataset/crema-d/AudioWAV/1001_TSI_ANG_XX.wav,mfccs_img/1001_TSI_ANG_XX_mfcc.png,Anger
./dataset/crema-d/AudioWAV/1055_IOM_HAP_XX.wav,mfccs_img/1055_IOM_HAP_XX_mfcc.png,Happy
./dataset/mlend/MLEndSND_Public/44459.wav,mfccs_img/44459_mfcc.png,Bored
./dataset/meld/train/dia1016_utt12.mp4,mfccs_img/dia1016_utt12_mfcc.png,Happy
./dataset/esd/0015/Sad/0015_001067.wav,mfccs_img/0015_001067_mfcc.png,Sad
./dataset/mlend/MLEndSND_Public/16837.wav,mfccs_img/16837_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/35255.wav,mfccs_img/35255_mfcc.png,Happy
./dataset/esd/0019/Neutral/0019_000207.wav,mfccs_img/0019_000207_mfcc.png,Neutral
./dataset/tess/OAF_angry/OAF_take_angry.wav,mfccs_img/OAF_take_angry_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/41153.wav,mfccs_img/41153_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/33493.wav,mfccs_img/33493_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/13628.wav,mfccs_img/13628_mfcc.png,Question
./dataset/mlend/MLEndSND_Public/19894.wav,mfccs_img/19894_mfcc.png,Happy
./dataset/esd/0013/Sad/0013_001185.wav,mfccs_img/0013_001185_mfcc.png,Sad
./dataset/mlend/MLEndSND_Public/15266.wav,mfccs_img/15266_mfcc.png,Bored
./dataset/esd/0019/Neutral/0019_000092.wav,mfccs_img/0019_000092_mfcc.png,Neutral
./dataset/meld/train/dia545_utt11.mp4,mfccs_img/dia545_utt11_mfcc.png,Anger
./dataset/meld/train/dia673_utt9.mp4,mfccs_img/dia673_utt9_mfcc.png,Neutral
./dataset/crema-d/AudioWAV/1061_IEO_DIS_MD.wav,mfccs_img/1061_IEO_DIS_MD_mfcc.png,Disgust
./dataset/esd/0014/Surprise/0014_001687.wav,mfccs_img/0014_001687_mfcc.png,Surprise
./dataset/esd/0011/Happy/0011_000834.wav,mfccs_img/0011_000834_mfcc.png,Happy
./dataset/meld/train/dia147_utt6.mp4,mfccs_img/dia147_utt6_mfcc.png,Surprise
./dataset/esd/0014/Angry/0014_000494.wav,mfccs_img/0014_000494_mfcc.png,Anger
./dataset/ravdess/Actor_04/03-01-05-02-02-02-04.wav,mfccs_img/03-01-05-02-02-02-04_mfcc.png,Anger
./dataset/meld/train/dia460_utt2.mp4,mfccs_img/dia460_utt2_mfcc.png,Fear
./dataset/mlend/MLEndSND_Public/38337.wav,mfccs_img/38337_mfcc.png,Bored
./dataset/crema-d/AudioWAV/1061_DFA_HAP_XX.wav,mfccs_img/1061_DFA_HAP_XX_mfcc.png,Happy
./dataset/esd/0020/Surprise/0020_001506.wav,mfccs_img/0020_001506_mfcc.png,Surprise
./dataset/tess/YAF_fear/YAF_chair_fear.wav,mfccs_img/YAF_chair_fear_mfcc.png,Fear
./dataset/esd/0012/Surprise/0012_001632.wav,mfccs_img/0012_001632_mfcc.png,Surprise
./dataset/mlend/MLEndSND_Public/41662.wav,mfccs_img/41662_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/31660.wav,mfccs_img/31660_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/01537.wav,mfccs_img/01537_mfcc.png,Happy
./dataset/crema-d/AudioWAV/1071_IEO_FEA_HI.wav,mfccs_img/1071_IEO_FEA_HI_mfcc.png,Fear
./dataset/mlend/MLEndSND_Public/21542.wav,mfccs_img/21542_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/34622.wav,mfccs_img/34622_mfcc.png,Bored
./dataset/esd/0020/Neutral/0020_000137.wav,mfccs_img/0020_000137_mfcc.png,Neutral
./dataset/esd/0011/Sad/0011_001257.wav,mfccs_img/0011_001257_mfcc.png,Sad
./dataset/esd/0014/Surprise/0014_001529.wav,mfccs_img/0014_001529_mfcc.png,Surprise
./dataset/mlend/MLEndSND_Public/21796.wav,mfccs_img/21796_mfcc.png,Bored
./dataset/esd/0011/Happy/0011_000956.wav,mfccs_img/0011_000956_mfcc.png,Happy
./dataset/mlend/MLEndSND_Public/25699.wav,mfccs_img/25699_mfcc.png,Happy
./dataset/esd/0011/Neutral/0011_000138.wav,mfccs_img/0011_000138_mfcc.png,Neutral
./dataset/esd/0011/Sad/0011_001197.wav,mfccs_img/0011_001197_mfcc.png,Sad
./dataset/meld/train/dia41_utt14.mp4,mfccs_img/dia41_utt14_mfcc.png,Disgust
./dataset/mlend/MLEndSND_Public/45320.wav,mfccs_img/45320_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/40240.wav,mfccs_img/40240_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/27081.wav,mfccs_img/27081_mfcc.png,Bored
./dataset/crema-d/AudioWAV/1040_MTI_ANG_XX.wav,mfccs_img/1040_MTI_ANG_XX_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/26238.wav,mfccs_img/26238_mfcc.png,Happy
./dataset/meld/train/dia208_utt1.mp4,mfccs_img/dia208_utt1_mfcc.png,Neutral
./dataset/esd/0018/Surprise/0018_001513.wav,mfccs_img/0018_001513_mfcc.png,Surprise
./dataset/esd/0013/Neutral/0013_000168.wav,mfccs_img/0013_000168_mfcc.png,Neutral
./dataset/meld/train/dia629_utt12.mp4,mfccs_img/dia629_utt12_mfcc.png,Neutral
./dataset/tess/OAF_Pleasant_surprise/OAF_chair_ps.wav,mfccs_img/OAF_chair_ps_mfcc.png,Surprise
./dataset/mlend/MLEndSND_Public/44543.wav,mfccs_img/44543_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/09331.wav,mfccs_img/09331_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/30616.wav,mfccs_img/30616_mfcc.png,Neutral
./dataset/crema-d/AudioWAV/1037_IEO_SAD_HI.wav,mfccs_img/1037_IEO_SAD_HI_mfcc.png,Sad
./dataset/mlend/MLEndSND_Public/08610.wav,mfccs_img/08610_mfcc.png,Bored
./dataset/tess/OAF_disgust/OAF_hall_disgust.wav,mfccs_img/OAF_hall_disgust_mfcc.png,Disgust
./dataset/mlend/MLEndSND_Public/25963.wav,mfccs_img/25963_mfcc.png,Bored
./dataset/mlend/MLEndSND_Public/08484.wav,mfccs_img/08484_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/06947.wav,mfccs_img/06947_mfcc.png,Question
./dataset/esd/0019/Surprise/0019_001522.wav,mfccs_img/0019_001522_mfcc.png,Surprise
./dataset/esd/0019/Sad/0019_001180.wav,mfccs_img/0019_001180_mfcc.png,Sad
./dataset/mlend/MLEndSND_Public/44856.wav,mfccs_img/44856_mfcc.png,Neutral
./dataset/crema-d/AudioWAV/1023_TSI_ANG_XX.wav,mfccs_img/1023_TSI_ANG_XX_mfcc.png,Anger
./dataset/esd/0018/Happy/0018_001032.wav,mfccs_img/0018_001032_mfcc.png,Happy
./dataset/esd/0011/Angry/0011_000388.wav,mfccs_img/0011_000388_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/45736.wav,mfccs_img/45736_mfcc.png,Happy
./dataset/esd/0020/Neutral/0020_000079.wav,mfccs_img/0020_000079_mfcc.png,Neutral
./dataset/mlend/MLEndSND_Public/45246.wav,mfccs_img/45246_mfcc.png,Happy
./dataset/meld/train/dia298_utt4.mp4,mfccs_img/dia298_utt4_mfcc.png,Sad
./dataset/tess/YAF_fear/YAF_ripe_fear.wav,mfccs_img/YAF_ripe_fear_mfcc.png,Fear
./dataset/esd/0013/Angry/0013_000614.wav,mfccs_img/0013_000614_mfcc.png,Anger
./dataset/mlend/MLEndSND_Public/09715.wav,mfccs_img/09715_mfcc.png,Question
./dataset/mlend/MLEndSND_Public/30938.wav,mfccs_img/30938_mfcc.png,Bored
./dataset/meld/train/dia792_utt0.mp4,mfccs_img/dia792_utt0_mfcc.png,Happy
